,group,year,age,population
0,0-20,1989,0,725654
1,0-20,1989,1,741838
2,0-20,1989,2,779636
3,0-20,1989,3,761233
4,0-20,1989,4,782349
5,0-20,1989,5,793505
6,0-20,1989,6,735264
7,0-20,1989,7,711035
8,0-20,1989,8,734441
9,0-20,1989,9,719776
10,0-20,1989,10,718696
11,0-20,1989,11,707365
12,0-20,1989,12,737520
13,0-20,1989,13,728438
14,0-20,1989,14,724719
15,0-20,1989,15,726807
16,0-20,1989,16,755385
17,0-20,1989,17,733055
18,0-20,1989,18,694030
19,20-65,1989,19,639982
20,20-65,1989,20,655973
21,20-65,1989,21,657224
22,20-65,1989,22,676071
23,20-65,1989,23,662581
24,20-65,1989,24,700567
25,20-65,1989,25,748920
26,20-65,1989,26,777105
27,20-65,1989,27,792682
28,20-65,1989,28,829593
29,20-65,1989,29,808815
30,20-65,1989,30,813332
31,20-65,1989,31,789993
32,20-65,1989,32,778410
33,20-65,1989,33,745201
34,20-65,1989,34,772070
35,20-65,1989,35,722564
36,20-65,1989,36,750385
37,20-65,1989,37,743160
38,20-65,1989,38,744123
39,20-65,1989,39,782016
40,20-65,1989,40,685718
41,20-65,1989,41,595457
42,20-65,1989,42,594377
43,20-65,1989,43,383172
44,20-65,1989,44,448354
45,20-65,1989,45,421546
46,20-65,1989,46,528285
47,20-65,1989,47,719159
48,20-65,1989,48,732550
49,20-65,1989,49,819082
50,20-65,1989,50,880281
51,20-65,1989,51,919609
52,20-65,1989,52,757211
53,20-65,1989,53,643528
54,20-65,1989,54,503713
55,20-65,1989,55,437871
56,20-65,1989,56,555530
57,20-65,1989,57,576367
58,20-65,1989,58,710854
59,20-65,1989,59,674922
60,20-65,1989,60,725036
61,20-65,1989,61,682635
62,20-65,1989,62,648990
63,20-65,1989,63,601459
64,20-65,1989,64,574992
65,20-65,1989,65,514188
66,65-80,1989,66,452383
67,65-80,1989,67,396844
68,65-80,1989,68,335018
69,65-80,1989,69,321957
70,65-80,1989,70,336044
71,65-80,1989,71,210106
72,65-80,1989,72,231925
73,65-80,1989,73,275202
74,65-80,1989,74,360428
75,65-80,1989,75,314356
76,65-80,1989,76,345877
77,65-80,1989,77,266822
78,65-80,1989,78,281868
79,65-80,1989,79,215993
82,0-20,1990,0,688127
83,0-20,1990,1,742288
84,0-20,1990,2,742343
85,0-20,1990,3,780926
86,0-20,1990,4,760425
87,0-20,1990,5,780227
88,0-20,1990,6,795903
89,0-20,1990,7,736069
90,0-20,1990,8,712631
91,0-20,1990,9,735304
92,0-20,1990,10,720011
93,0-20,1990,11,718115
94,0-20,1990,12,706285
95,0-20,1990,13,738258
96,0-20,1990,14,727285
97,0-20,1990,15,730104
98,0-20,1990,16,729987
99,0-20,1990,17,760760
100,0-20,1990,18,723972
101,20-65,1990,19,689155
102,20-65,1990,20,644475
103,20-65,1990,21,656093
104,20-65,1990,22,662180
105,20-65,1990,23,675535
106,20-65,1990,24,662957
107,20-65,1990,25,702418
108,20-65,1990,26,750943
109,20-65,1990,27,777745
110,20-65,1990,28,794292
111,20-65,1990,29,827492
112,20-65,1990,30,813725
113,20-65,1990,31,802151
114,20-65,1990,32,790749
115,20-65,1990,33,775792
116,20-65,1990,34,742701
117,20-65,1990,35,768280
118,20-65,1990,36,716452
119,20-65,1990,37,754700
120,20-65,1990,38,742882
121,20-65,1990,39,743865
122,20-65,1990,40,786908
123,20-65,1990,41,665162
124,20-65,1990,42,598856
125,20-65,1990,43,576601
126,20-65,1990,44,381457
127,20-65,1990,45,456573
128,20-65,1990,46,414047
129,20-65,1990,47,544199
130,20-65,1990,48,704427
131,20-65,1990,49,735407
132,20-65,1990,50,816439
133,20-65,1990,51,872370
134,20-65,1990,52,912881
135,20-65,1990,53,744691
136,20-65,1990,54,636111
137,20-65,1990,55,486783
138,20-65,1990,56,432659
139,20-65,1990,57,555482
140,20-65,1990,58,583563
141,20-65,1990,59,677521
142,20-65,1990,60,676134
143,20-65,1990,61,711492
144,20-65,1990,62,668053
145,20-65,1990,63,633913
146,20-65,1990,64,586594
147,20-65,1990,65,563400
148,65-80,1990,66,493205
149,65-80,1990,67,440517
150,65-80,1990,68,383512
151,65-80,1990,69,322802
152,65-80,1990,70,328914
153,65-80,1990,71,282666
154,65-80,1990,72,217654
155,65-80,1990,73,222480
156,65-80,1990,74,263228
157,65-80,1990,75,342846
158,65-80,1990,76,293871
159,65-80,1990,77,324662
160,65-80,1990,78,256768
161,65-80,1990,79,237595
164,0-20,1991,0,650989
165,0-20,1991,1,688978
166,0-20,1991,2,743316
167,0-20,1991,3,745376
168,0-20,1991,4,784459
169,0-20,1991,5,763562
170,0-20,1991,6,783249
171,0-20,1991,7,798875
172,0-20,1991,8,737921
173,0-20,1991,9,714759
174,0-20,1991,10,737069
175,0-20,1991,11,719756
176,0-20,1991,12,718015
177,0-20,1991,13,705220
178,0-20,1991,14,737989
179,0-20,1991,15,732586
180,0-20,1991,16,730983
181,0-20,1991,17,732627
182,0-20,1991,18,751929
183,20-65,1991,19,718751
184,20-65,1991,20,692082
185,20-65,1991,21,648546
186,20-65,1991,22,657536
187,20-65,1991,23,662327
188,20-65,1991,24,675518
189,20-65,1991,25,663932
190,20-65,1991,26,702799
191,20-65,1991,27,750931
192,20-65,1991,28,776914
193,20-65,1991,29,794051
194,20-65,1991,30,827635
195,20-65,1991,31,811899
196,20-65,1991,32,801042
197,20-65,1991,33,788219
198,20-65,1991,34,774630
199,20-65,1991,35,740551
200,20-65,1991,36,766147
201,20-65,1991,37,713593
202,20-65,1991,38,752186
203,20-65,1991,39,741204
204,20-65,1991,40,741953
205,20-65,1991,41,784071
206,20-65,1991,42,662207
207,20-65,1991,43,596194
208,20-65,1991,44,574413
209,20-65,1991,45,380392
210,20-65,1991,46,454751
211,20-65,1991,47,411978
212,20-65,1991,48,540983
213,20-65,1991,49,700596
214,20-65,1991,50,730962
215,20-65,1991,51,810425
216,20-65,1991,52,864941
217,20-65,1991,53,904619
218,20-65,1991,54,737535
219,20-65,1991,55,629447
220,20-65,1991,56,481180
221,20-65,1991,57,426404
222,20-65,1991,58,547015
223,20-65,1991,59,574265
224,20-65,1991,60,668472
225,20-65,1991,61,663013
226,20-65,1991,62,697194
227,20-65,1991,63,654041
228,20-65,1991,64,619262
229,20-65,1991,65,572299
230,65-80,1991,66,548354
231,65-80,1991,67,479023
232,65-80,1991,68,427228
233,65-80,1991,69,371256
234,65-80,1991,70,311089
235,65-80,1991,71,315053
236,65-80,1991,72,271733
237,65-80,1991,73,206307
238,65-80,1991,74,210712
239,65-80,1991,75,248024
240,65-80,1991,76,321776
241,65-80,1991,77,274068
242,65-80,1991,78,301259
243,65-80,1991,79,235826
246,0-20,1992,0,629652
247,0-20,1992,1,652042
248,0-20,1992,2,690711
249,0-20,1992,3,744695
250,0-20,1992,4,748758
251,0-20,1992,5,788275
252,0-20,1992,6,767166
253,0-20,1992,7,786874
254,0-20,1992,8,802282
255,0-20,1992,9,740506
256,0-20,1992,10,717383
257,0-20,1992,11,739410
258,0-20,1992,12,720175
259,0-20,1992,13,718436
260,0-20,1992,14,705042
261,0-20,1992,15,739387
262,0-20,1992,16,730309
263,0-20,1992,17,727361
264,0-20,1992,18,725995
265,20-65,1992,19,747227
266,20-65,1992,20,720088
267,20-65,1992,21,694079
268,20-65,1992,22,649538
269,20-65,1992,23,658634
270,20-65,1992,24,662414
